SongPos,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31
063 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
064 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
065 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
066 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
067 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
068 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
069 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
070 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
071 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
072 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
073 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
074 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
075 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
076 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
077 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
078 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
079 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
080 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
081 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
082 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
083 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
084 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
085 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
086 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
087 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
088 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
089 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
090 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
091 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
092 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
093 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
094 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
095 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
096 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
097 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
098 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
099 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
100 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
101 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
102 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
103 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
104 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
105 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
106 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
107 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
108 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
109 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
110 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
111 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
112 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
113 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
114 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
115 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
116 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
117 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
118 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
119 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
120 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
121 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
122 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
123 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
124 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
125 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
126 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
127 ,Y,Y,Y,Y,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , ,
